"","打鍵回数","左クリック","右クリック"
"2013年02月08日10時40分","3","0","0"
"2013年02月08日10時45分","36","0","0"
"2013年02月08日10時50分","43","0","0"
"2013年02月08日10時55分","30","0","0"
"2013年02月08日11時00分","4","0","0"
"2013年02月08日11時05分","11","0","0"
"2013年02月08日11時10分","2","0","0"
"2013年02月08日11時15分","16","0","0"
"2013年02月08日11時20分","0","0","0"
"2013年02月08日11時25分","18","0","0"
"2013年02月08日11時30分","4","0","0"
"2013年02月08日11時35分","1","0","0"
"2013年02月08日11時40分","5","0","0"
"2013年02月08日11時45分","17","0","0"
"2013年02月08日11時50分","0","0","0"
"2013年02月08日11時55分","5","0","0"
"2013年02月08日12時00分","10","0","0"
"2013年02月08日12時05分","473","0","0"
"2013年02月08日12時10分","464","0","0"
"2013年02月08日12時15分","309","0","0"
"2013年02月08日12時20分","246","0","0"
"2013年02月08日12時25分","182","0","0"
"2013年02月08日12時30分","115","0","0"
"2013年02月08日12時35分","0","0","0"
"2013年02月08日12時40分","8","0","0"
"2013年02月08日12時45分","0","0","0"
"2013年02月08日12時50分","0","0","0"
"2013年02月08日12時55分","0","0","0"
"2013年02月08日13時00分","0","0","0"
"2013年02月08日13時05分","0","0","0"
"2013年02月08日13時45分","0","0","0"
"2013年02月08日13時50分","1","0","0"
"2013年02月08日13時55分","0","0","0"
"2013年02月08日14時00分","83","0","0"
"2013年02月08日14時05分","46","0","0"
"2013年02月08日14時10分","28","0","0"
"2013年02月08日14時15分","101","0","0"
"2013年02月08日14時20分","150","0","0"
"2013年02月08日14時25分","184","0","0"
"2013年02月08日14時30分","360","0","0"
"2013年02月08日14時35分","135","0","0"
"2013年02月08日14時40分","166","0","0"
"2013年02月08日14時45分","262","0","0"
"2013年02月08日14時50分","338","0","0"
"2013年02月08日14時55分","422","0","0"
"2013年02月08日15時00分","153","0","0"
"2013年02月08日15時05分","115","0","0"
"2013年02月08日15時10分","208","0","0"
"2013年02月08日15時15分","300","0","0"
"2013年02月08日15時20分","279","0","0"
"2013年02月08日15時25分","45","0","0"
"2013年02月08日15時30分","82","0","0"
"2013年02月08日15時35分","42","0","0"
"2013年02月08日15時40分","50","0","0"
"2013年02月08日15時45分","15","0","0"
"2013年02月08日15時50分","119","0","0"
"2013年02月08日15時55分","110","0","0"
"2013年02月08日16時00分","59","0","0"
"2013年02月08日16時05分","57","0","0"
"2013年02月08日16時10分","7","0","0"
"2013年02月08日16時15分","13","0","0"
"2013年02月08日16時20分","114","0","0"
"2013年02月08日16時25分","32","0","0"
"2013年02月08日16時30分","15","0","0"
"2013年02月08日16時35分","30","0","0"
"2013年02月08日16時40分","4","0","0"
"2013年02月08日16時45分","39","0","0"
"2013年02月08日16時50分","14","0","0"
"2013年02月08日16時55分","3","0","0"
"2013年02月08日17時00分","79","0","0"
"2013年02月08日17時05分","60","0","0"
"2013年02月08日17時10分","17","0","0"
"2013年02月08日17時15分","138","0","0"
"2013年02月08日17時20分","87","0","0"
"2013年02月08日17時25分","96","0","0"
"2013年02月08日17時30分","4","0","0"
"2013年02月08日17時35分","72","0","0"
"2013年02月08日17時40分","38","0","0"
"2013年02月08日17時45分","46","0","0"
"2013年02月08日17時50分","241","0","0"
"2013年02月08日17時55分","275","0","0"
"2013年02月08日18時00分","247","0","0"
"2013年02月08日18時05分","0","0","0"
"2013年02月08日18時10分","30","0","0"
"2013年02月08日18時15分","30","0","0"
"2013年02月08日18時20分","3","0","0"
"2013年02月08日18時25分","0","0","0"
"2013年02月08日18時30分","30","0","0"
"2013年02月08日18時35分","305","0","0"
"2013年02月08日18時40分","194","0","0"
"2013年02月08日18時45分","197","0","0"
"2013年02月08日18時50分","101","0","0"
"2013年02月08日18時55分","0","0","0"
"2013年02月08日19時00分","0","0","0"
"2013年02月08日19時05分","0","0","0"
"2013年02月08日19時10分","0","0","0"
"2013年02月08日19時15分","29","0","0"
"2013年02月08日19時20分","151","0","0"
"2013年02月08日19時25分","287","0","0"
"2013年02月08日19時30分","7","0","0"
"2013年02月08日19時35分","418","0","0"
"2013年02月08日19時40分","270","0","0"
"2013年02月08日19時45分","327","0","0"
"2013年02月08日19時50分","415","0","0"
"2013年02月08日19時55分","227","0","0"
"2013年02月08日20時00分","54","0","0"
"2013年02月08日20時05分","32","0","0"
"2013年02月08日20時10分","35","0","0"
"2013年02月08日20時15分","164","0","0"
"2013年02月08日20時20分","61","0","0"
"2013年02月08日20時25分","118","0","0"
"2013年02月08日20時30分","63","0","0"
"2013年02月08日20時35分","25","0","0"
"2013年02月08日20時40分","145","0","0"
"2013年02月08日20時45分","225","0","0"
"2013年02月08日20時50分","144","0","0"
"2013年02月08日20時55分","79","0","0"
"2013年02月08日21時00分","50","0","0"
"2013年02月08日21時05分","56","0","0"
"2013年02月12日09時00分","11","20","0"
"2013年02月12日09時05分","20","18","0"
"2013年02月12日09時10分","93","60","0"
"2013年02月12日09時15分","110","39","1"
"2013年02月12日09時20分","71","47","2"
"2013年02月12日09時25分","2","19","0"
"2013年02月12日09時30分","0","36","2"
"2013年02月12日09時35分","0","30","2"
"2013年02月12日09時40分","1","104","5"
"2013年02月12日09時45分","9","67","7"
"2013年02月12日09時50分","0","1","0"
"2013年02月12日09時55分","35","15","0"
"2013年02月12日10時00分","93","44","1"
"2013年02月12日10時05分","25","15","1"
"2013年02月12日10時10分","23","44","2"
"2013年02月12日10時15分","66","71","12"
"2013年02月12日10時20分","104","72","11"
"2013年02月12日10時25分","67","122","6"
"2013年02月12日10時30分","95","62","8"
"2013年02月12日10時35分","0","6","0"
"2013年02月12日10時40分","1","31","4"
"2013年02月12日10時45分","0","19","4"
"2013年02月12日10時50分","2","30","1"
"2013年02月12日10時55分","49","36","1"
"2013年02月12日11時00分","240","14","0"
"2013年02月12日11時05分","92","35","2"
"2013年02月12日11時10分","43","72","6"
"2013年02月12日11時15分","2","57","10"
"2013年02月12日11時20分","12","51","1"
"2013年02月12日11時25分","0","77","5"
"2013年02月12日11時30分","1","112","2"
"2013年02月12日11時35分","3","61","2"
"2013年02月12日11時40分","143","105","3"
"2013年02月12日11時45分","19","26","2"
"2013年02月12日11時50分","79","63","0"
"2013年02月12日11時55分","116","34","3"
"2013年02月12日12時00分","2","57","4"
"2013年02月12日12時05分","0","59","5"
"2013年02月12日12時10分","11","67","3"
"2013年02月12日12時15分","1","40","1"
"2013年02月12日12時20分","22","41","0"
"2013年02月12日12時25分","0","1","0"
"2013年02月12日12時30分","51","28","0"
"2013年02月12日12時35分","102","38","0"
"2013年02月12日12時40分","286","32","0"
"2013年02月12日12時45分","0","0","0"
"2013年02月12日12時50分","0","0","0"
"2013年02月12日12時55分","0","0","0"
"2013年02月12日13時00分","0","0","0"
"2013年02月12日13時05分","0","0","0"
"2013年02月12日13時10分","0","0","0"
"2013年02月12日13時50分","0","0","0"
"2013年02月12日13時55分","4","78","1"
"2013年02月12日14時00分","0","18","2"
"2013年02月12日14時05分","2","18","1"
"2013年02月12日14時10分","13","32","6"
"2013年02月12日14時15分","19","0","0"
"2013年02月12日14時20分","0","0","0"
"2013年02月12日14時25分","36","0","0"
"2013年02月12日14時30分","53","0","0"
"2013年02月12日14時35分","76","0","0"
"2013年02月12日14時40分","269","0","0"
"2013年02月12日14時45分","101","0","0"
"2013年02月12日14時50分","67","0","0"
"2013年02月12日14時55分","79","0","0"
"2013年02月12日15時00分","30","0","0"
"2013年02月12日15時05分","0","0","0"
"2013年02月12日15時10分","104","0","0"
"2013年02月12日15時15分","45","0","0"
"2013年02月12日15時20分","97","0","0"
"2013年02月12日15時25分","21","0","0"
"2013年02月12日15時30分","66","0","0"
"2013年02月12日15時35分","93","0","0"
"2013年02月12日15時40分","135","0","0"
"2013年02月12日15時45分","475","0","0"
"2013年02月12日15時50分","111","0","0"
"2013年02月12日15時55分","13","0","0"
"2013年02月12日16時00分","233","0","0"
"2013年02月12日16時05分","21","0","0"
"2013年02月12日16時10分","90","0","0"
"2013年02月12日16時15分","42","0","0"
"2013年02月12日16時20分","41","0","0"
"2013年02月12日16時25分","98","0","0"
"2013年02月12日16時30分","6","0","0"
"2013年02月12日16時35分","0","0","0"
"2013年02月12日16時40分","3","0","0"
"2013年02月12日16時45分","5","0","0"
"2013年02月12日16時50分","18","0","0"
"2013年02月12日16時55分","0","0","0"
"2013年02月12日17時00分","17","0","0"
"2013年02月12日17時05分","0","0","0"
"2013年02月12日17時10分","15","0","0"
"2013年02月12日17時15分","23","0","0"
"2013年02月12日17時20分","25","0","0"
"2013年02月12日17時25分","25","0","0"
"2013年02月12日17時30分","5","0","0"
