"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月08日10時40分","0","0","54","0","0","22","0","0","0","0","3"
"2013年02月08日10時45分","19","0","22","0","0","89","0","0","96","0","67"
"2013年02月08日10時50分","0","0","1","0","0","140","0","0","104","0","52"
"2013年02月08日10時55分","14","11","0","0","0","0","0","0","271","0","0"
"2013年02月08日11時00分","110","0","20","0","0","0","0","0","34","0","110"
"2013年02月08日11時05分","43","16","35","0","0","0","0","0","113","0","4"
"2013年02月08日11時10分","0","0","11","0","0","0","0","0","113","0","51"
"2013年02月08日11時15分","1","0","0","0","0","0","0","0","134","0","59"
"2013年02月08日11時20分","0","0","0","0","0","0","0","0","106","0","0"
"2013年02月08日11時25分","46","0","0","0","0","0","0","0","46","0","1"
"2013年02月08日11時30分","55","0","0","0","0","120","0","0","66","0","56"
"2013年02月08日11時35分","0","0","29","0","0","6","0","0","11","0","111"
"2013年02月08日11時40分","77","0","1","0","0","0","0","0","5","0","211"
"2013年02月08日11時45分","32","0","39","0","0","0","0","0","0","0","0"
"2013年02月08日11時50分","0","0","128","0","0","0","0","0","0","0","11"
"2013年02月08日11時55分","85","0","0","0","0","0","0","0","208","0","1"
"2013年02月08日12時00分","32","0","53","19","0","0","0","0","175","0","0"
"2013年02月08日12時05分","0","287","12","0","0","0","0","0","0","0","0"
"2013年02月08日12時10分","0","286","5","8","0","0","0","0","0","0","0"
"2013年02月08日12時15分","28","239","0","0","0","0","0","0","29","0","1"
"2013年02月08日12時20分","15","283","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時25分","15","275","0","0","0","0","0","0","6","0","0"
"2013年02月08日12時30分","10","289","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時35分","0","68","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時40分","0","0","0","0","0","0","0","0","0","0","290"
"2013年02月08日12時45分","0","0","0","0","0","0","0","0","0","0","55"
"2013年02月08日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時50分","0","1","0","0","0","0","0","0","38","0","0"
"2013年02月08日13時55分","75","0","0","0","0","0","0","0","64","0","0"
"2013年02月08日14時00分","0","0","0","0","0","85","0","0","0","0","0"
"2013年02月08日14時05分","0","0","29","0","0","263","0","0","0","0","2"
"2013年02月08日14時10分","0","0","2","0","0","295","0","0","0","0","0"
"2013年02月08日14時15分","0","0","0","0","0","217","0","0","0","0","0"
"2013年02月08日14時20分","5","0","9","0","0","280","0","0","0","0","0"
"2013年02月08日14時25分","148","0","2","0","0","147","0","0","0","0","0"
"2013年02月08日14時30分","300","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日14時35分","254","6","0","0","0","39","0","0","0","0","0"
"2013年02月08日14時40分","188","0","4","0","0","106","0","0","0","0","0"
"2013年02月08日14時45分","0","0","0","0","0","298","0","0","0","0","0"
"2013年02月08日14時50分","193","0","0","0","0","105","0","0","0","0","0"
"2013年02月08日14時55分","300","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日15時00分","107","0","3","0","0","189","0","0","0","0","0"
"2013年02月08日15時05分","0","0","0","0","0","299","0","0","0","0","0"
"2013年02月08日15時10分","73","0","0","0","0","223","0","0","0","0","0"
"2013年02月08日15時15分","256","43","0","0","0","0","0","0","0","0","0"
"2013年02月08日15時20分","300","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日15時25分","22","4","53","54","0","38","0","0","3","0","118"
"2013年02月08日15時30分","0","0","24","165","0","39","0","0","0","0","68"
"2013年02月08日15時35分","0","0","0","278","0","20","0","0","0","0","0"
"2013年02月08日15時40分","0","0","11","159","0","125","0","0","0","0","0"
"2013年02月08日15時45分","0","0","119","93","0","66","0","0","0","0","0"
"2013年02月08日15時50分","0","0","15","256","0","0","0","0","0","0","0"
"2013年02月08日15時55分","0","0","55","190","0","15","0","0","0","0","34"
"2013年02月08日16時00分","0","0","4","83","0","80","0","0","0","0","129"
"2013年02月08日16時05分","0","0","25","8","0","37","0","0","210","0","14"
"2013年02月08日16時10分","0","18","0","0","0","22","0","0","259","0","0"
"2013年02月08日16時15分","0","35","0","0","0","0","0","0","218","0","0"
"2013年02月08日16時20分","0","0","0","0","0","20","0","0","279","0","0"
"2013年02月08日16時25分","0","0","0","0","0","60","0","0","237","0","0"
"2013年02月08日16時30分","0","0","0","0","0","13","0","0","286","0","0"
"2013年02月08日16時35分","31","40","3","0","0","90","0","0","64","0","68"
"2013年02月08日16時40分","118","0","0","0","0","0","0","0","101","0","0"
"2013年02月08日16時45分","4","5","0","0","0","0","0","0","168","0","0"
"2013年02月08日16時50分","31","0","60","0","0","10","0","0","130","0","58"
"2013年02月08日16時55分","18","0","1","0","0","0","0","0","178","0","14"
"2013年02月08日17時00分","72","0","0","0","0","0","0","0","175","0","49"
"2013年02月08日17時05分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月08日17時10分","0","0","0","0","0","2","0","0","128","0","0"
"2013年02月08日17時15分","34","0","91","46","0","0","0","0","75","0","50"
"2013年02月08日17時20分","39","0","13","108","0","0","0","0","21","0","115"
"2013年02月08日17時25分","12","0","8","0","0","0","0","0","267","0","11"
"2013年02月08日17時30分","1","0","7","0","0","0","0","0","251","0","38"
"2013年02月08日17時35分","30","0","113","0","0","0","0","0","20","0","132"
"2013年02月08日17時40分","12","0","130","0","0","0","0","0","45","0","54"
"2013年02月08日17時45分","125","21","8","0","0","4","0","0","0","0","0"
"2013年02月08日17時50分","114","0","45","0","0","122","0","0","0","0","14"
"2013年02月08日17時55分","18","151","2","0","0","0","0","0","125","0","0"
"2013年02月08日18時00分","51","110","3","0","0","0","0","0","133","0","0"
"2013年02月08日18時05分","0","0","0","0","0","0","0","0","147","0","0"
"2013年02月08日18時10分","0","0","40","0","0","0","0","0","20","0","85"
"2013年02月08日18時15分","0","0","166","0","0","0","0","0","0","0","120"
"2013年02月08日18時20分","0","0","100","0","0","0","0","0","0","0","116"
"2013年02月08日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時30分","0","67","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時35分","9","265","15","0","0","0","0","0","6","0","2"
"2013年02月08日18時40分","0","220","5","0","0","0","0","0","69","0","0"
"2013年02月08日18時45分","0","300","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時50分","0","300","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時55分","0","136","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時15分","0","135","23","0","0","0","55","0","0","0","0"
"2013年02月08日19時20分","0","19","14","0","0","0","169","0","0","0","0"
"2013年02月08日19時25分","0","0","11","0","0","0","288","0","0","0","0"
"2013年02月08日19時30分","0","0","14","0","0","0","278","0","0","0","0"
"2013年02月08日19時35分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月08日19時40分","0","0","4","0","0","0","296","0","0","0","0"
"2013年02月08日19時45分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月08日19時50分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月08日19時55分","0","0","3","0","0","0","295","0","0","0","0"
"2013年02月08日20時00分","25","189","8","0","0","0","0","0","0","0","0"
"2013年02月08日20時05分","34","30","50","0","0","0","0","0","0","0","0"
"2013年02月08日20時10分","0","0","175","0","0","0","0","0","22","0","97"
"2013年02月08日20時15分","0","6","67","5","0","0","0","0","216","0","3"
"2013年02月08日20時20分","0","0","119","77","0","29","0","0","11","0","59"
"2013年02月08日20時25分","0","0","0","220","0","59","0","0","0","0","17"
"2013年02月08日20時30分","0","0","49","115","0","44","0","0","85","0","0"
"2013年02月08日20時35分","0","80","68","18","0","10","0","0","31","0","89"
"2013年02月08日20時40分","0","7","28","0","0","137","0","0","126","0","0"
"2013年02月08日20時45分","0","0","0","223","0","69","0","0","4","0","0"
"2013年02月08日20時50分","0","0","5","107","0","141","0","0","0","0","41"
"2013年02月08日20時55分","0","0","0","0","0","155","0","0","0","0","142"
"2013年02月08日21時00分","0","0","0","0","0","228","0","0","0","0","69"
"2013年02月08日21時05分","0","0","0","0","0","191","0","0","0","0","105"
"2013年02月12日09時00分","157","161","0","0","0","0","0","0","0","0","19"
"2013年02月12日09時05分","104","18","19","0","0","159","0","0","0","0","0"
"2013年02月12日09時10分","201","35","26","0","0","34","0","0","0","0","0"
"2013年02月12日09時15分","166","17","76","0","0","8","0","0","0","0","30"
"2013年02月12日09時20分","0","22","13","0","0","0","48","0","149","0","65"
"2013年02月12日09時25分","54","0","17","0","0","0","55","0","172","0","0"
"2013年02月12日09時30分","0","0","0","0","0","0","0","0","273","0","0"
"2013年02月12日09時35分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月12日09時40分","0","0","9","0","0","35","0","0","255","0","0"
"2013年02月12日09時45分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月12日09時50分","0","0","0","0","0","0","0","0","209","0","0"
"2013年02月12日09時55分","0","0","61","0","0","0","0","0","13","0","0"
"2013年02月12日10時00分","0","0","238","0","0","0","0","23","36","0","0"
