"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","ワード - 打鍵回数","プレゼン編集 - 打鍵回数","エクセル - 打鍵回数","ファイル操作 - 打鍵回数","文書閲覧　 - 打鍵回数","調査　 - 打鍵回数","SQLサーバ　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ　 - 打鍵回数","登録外 - 打鍵回数"
"2013年02月04日14時10分","0","0","0","0","0","0","0","22","0","0","0","0","0","0"
"2013年02月04日14時15分","0","0","0","0","0","0","0","0","0","41","0","0","0","0"
"2013年02月04日14時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時30分","0","0","0","0","0","0","0","0","0","73","0","0","0","0"
"2013年02月04日14時35分","0","0","0","0","0","0","0","0","0","23","0","0","0","0"
"2013年02月04日14時40分","0","0","0","0","0","0","0","0","0","9","0","0","0","0"
"2013年02月04日14時45分","0","0","0","0","0","0","0","0","0","59","0","0","0","0"
"2013年02月04日14時50分","0","0","0","0","0","0","0","16","0","42","0","0","0","0"
"2013年02月04日14時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"2013年02月04日15時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月04日15時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時50分","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"2013年02月04日15時55分","0","0","0","0","0","0","0","0","0","3","0","0","0","6"
"2013年02月04日16時00分","0","0","0","0","0","0","0","0","0","7","0","0","0","15"
"2013年02月04日16時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"2013年02月04日16時10分","0","3","0","0","0","0","7","3","0","4","0","0","0","6"
"2013年02月04日16時15分","0","0","0","0","0","0","37","0","0","4","0","0","0","23"
"2013年02月04日16時20分","0","0","0","0","0","0","237","0","0","0","0","0","0","0"
"2013年02月04日16時25分","0","0","0","0","0","0","36","0","0","9","0","0","0","29"
"2013年02月04日16時30分","0","0","0","0","0","0","67","0","0","42","0","0","0","47"
"2013年02月04日16時35分","0","82","0","0","0","0","12","0","0","0","0","0","0","6"
"2013年02月04日16時40分","0","18","0","0","0","0","0","0","0","0","0","0","0","11"
"2013年02月04日16時45分","0","35","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時50分","0","0","0","0","0","0","4","0","0","20","0","0","0","27"
"2013年02月04日16時55分","0","0","0","0","0","0","32","0","0","33","0","0","0","26"
"2013年02月04日17時00分","0","0","0","0","0","0","73","0","0","0","0","0","0","0"
"2013年02月04日17時05分","0","0","0","0","0","0","0","0","0","0","0","90","0","15"
"2013年02月04日17時10分","0","0","0","0","0","0","0","0","0","12","0","0","0","140"
"2013年02月04日17時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","89"
"2013年02月04日17時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","141"
"2013年02月04日17時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","73"
"2013年02月04日17時40分","0","0","0","0","6","0","4","0","0","0","0","0","0","24"
"2013年02月04日17時45分","0","0","0","0","0","0","6","0","0","0","0","0","0","177"
"2013年02月04日17時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","267"
"2013年02月04日17時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","245"
"2013年02月04日18時00分","0","0","0","0","0","0","2","0","0","0","0","0","0","207"
"2013年02月04日18時05分","0","0","0","0","0","0","0","2","0","0","0","25","0","36"
"2013年02月04日18時10分","0","0","0","0","0","0","0","6","0","0","0","2","0","183"
"2013年02月04日18時15分","0","0","0","0","0","0","2","0","0","0","0","41","0","0"
"2013年02月04日18時20分","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月04日18時25分","0","1","0","0","0","0","49","0","0","0","0","0","0","0"
"2013年02月04日18時30分","0","0","0","0","0","0","0","0","0","0","0","51","0","0"
"2013年02月04日18時35分","0","94","0","0","0","0","0","5","0","0","0","0","0","0"
"2013年02月04日18時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日19時00分","0","59","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日19時05分","0","179","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日08時55分","0","0","300","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時10分","0","5","0","0","0","0","108","0","0","0","0","0","0","1"
"2013年02月05日09時15分","0","83","14","0","0","0","48","0","0","0","0","0","0","62"
"2013年02月05日09時20分","0","60","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時25分","0","8","0","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日09時30分","0","0","0","0","0","0","74","0","0","0","0","0","0","0"
"2013年02月05日09時35分","0","0","0","0","0","0","34","0","0","0","0","0","0","0"
"2013年02月05日09時40分","0","3","0","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月05日09時45分","0","0","0","0","0","0","94","0","0","0","0","0","0","1"
"2013年02月05日09時50分","0","244","0","0","0","0","4","0","0","0","0","0","0","0"
"2013年02月05日09時55分","0","161","0","0","0","0","155","0","0","0","0","0","0","0"
"2013年02月05日10時00分","0","0","0","0","0","0","0","0","0","0","0","22","0","0"
"2013年02月05日10時05分","0","0","0","0","0","0","6","18","0","0","0","73","0","1"
"2013年02月05日10時10分","0","0","0","0","0","0","0","0","0","0","0","16","0","0"
"2013年02月05日10時15分","0","0","0","0","0","0","0","0","0","22","0","0","0","0"
"2013年02月05日10時20分","0","0","0","0","0","0","17","0","0","14","0","0","0","0"
"2013年02月05日10時25分","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"2013年02月05日10時30分","0","0","0","0","0","0","0","0","0","0","0","36","0","0"
"2013年02月05日10時35分","0","0","0","0","0","0","0","0","0","47","0","14","0","0"
"2013年02月05日10時40分","0","0","0","0","0","0","0","0","0","16","0","0","0","0"
"2013年02月05日10時45分","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"2013年02月05日10時50分","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"2013年02月05日10時55分","0","0","0","0","0","0","0","0","0","42","0","37","0","193"
"2013年02月05日11時00分","0","0","0","0","0","0","0","0","0","0","0","2","0","155"
"2013年02月05日11時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"2013年02月05日11時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"2013年02月05日11時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","132"
"2013年02月05日11時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","227"
"2013年02月05日11時30分","0","0","0","0","0","0","0","0","0","0","0","11","0","172"
"2013年02月05日11時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","147"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","0","0","0","10","0","166"
"2013年02月05日11時45分","0","0","0","0","0","0","0","4","0","0","0","0","0","7"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"2013年02月05日11時55分","0","0","4","0","0","0","0","0","0","0","0","21","0","2"
"2013年02月05日12時00分","0","8","0","0","0","0","0","0","0","2","0","31","0","1"
"2013年02月05日12時05分","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","10","0","0","5","0","0","0","2"
"2013年02月05日12時15分","0","0","0","0","0","0","89","0","0","25","0","0","0","0"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","0","5","0","0","0","133"
"2013年02月05日12時25分","0","0","0","0","0","0","0","0","0","2","0","0","0","17"
"2013年02月05日12時30分","0","0","0","0","0","0","2","0","0","6","0","0","0","24"
"2013年02月05日12時35分","0","0","0","0","0","0","0","0","0","14","0","0","0","234"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","196"
"2013年02月05日12時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時00分","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"2013年02月05日14時05分","0","0","0","0","0","0","0","2","0","0","0","67","0","0"
"2013年02月05日14時10分","0","0","0","0","0","0","0","0","0","4","0","11","0","0"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","0","4","0","18","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","0","0","0","5","0","0"
"2013年02月05日14時35分","0","0","0","0","0","0","157","0","0","25","0","0","0","0"
"2013年02月05日14時40分","0","0","0","0","0","0","29","0","0","28","0","2","0","26"
"2013年02月05日14時45分","0","0","0","0","0","0","0","0","0","0","0","5","0","0"
"2013年02月05日14時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時00分","0","0","0","0","0","0","2","0","0","0","0","2","0","0"
"2013年02月05日15時05分","0","0","0","0","0","0","8","0","0","8","0","2","0","5"
"2013年02月05日15時10分","0","0","0","0","0","0","23","0","0","37","0","6","0","15"
"2013年02月05日15時15分","0","0","0","0","0","0","31","0","0","40","0","0","0","32"
"2013年02月05日15時20分","0","0","0","0","0","0","42","0","0","54","0","0","0","25"
"2013年02月05日15時25分","0","0","0","0","0","0","19","0","0","47","0","3","0","34"
"2013年02月05日15時30分","0","0","0","0","0","0","92","0","0","28","0","5","0","11"
"2013年02月05日15時35分","0","0","0","0","0","0","22","0","0","63","0","2","0","21"
