"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月06日09時15分","70","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時20分","158","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時25分","0","0","40","0","0","0","0","0","0","0","0"
"2013年02月06日09時30分","20","245","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時35分","0","47","0","0","0","3","0","0","0","0","0"
"2013年02月06日09時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日09時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時00分","0","1","15","0","0","3","0","0","0","0","0"
"2013年02月06日10時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時15分","0","0","7","0","0","0","0","0","0","0","0"
"2013年02月06日10時20分","0","0","0","0","194","0","0","0","0","0","0"
"2013年02月06日10時25分","0","0","0","0","62","0","0","0","0","1","0"
"2013年02月06日10時30分","0","0","0","0","97","0","0","0","0","22","0"
"2013年02月06日10時35分","0","0","16","8","16","0","0","0","0","10","0"
"2013年02月06日10時40分","0","0","0","0","124","0","0","0","0","0","0"
"2013年02月06日10時45分","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月06日10時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日10時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時05分","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月06日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時15分","0","0","0","0","0","0","0","0","0","9","0"
"2013年02月06日11時20分","0","0","16","0","0","2","0","0","0","42","0"
"2013年02月06日11時25分","0","0","2","0","0","0","0","0","0","48","0"
"2013年02月06日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時35分","0","539","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時40分","0","54","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時20分","0","0","0","0","0","310","0","0","0","0","0"
"2013年02月06日13時25分","0","0","0","0","0","77","0","0","0","0","0"
"2013年02月06日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時35分","0","0","11","0","0","20","0","0","0","0","0"
"2013年02月06日13時40分","1","0","0","0","0","0","0","0","0","4","0"
"2013年02月06日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時10分","0","0","0","0","0","0","0","0","0","20","0"
"2013年02月06日14時15分","0","0","3","0","0","0","0","0","0","0","0"
"2013年02月06日14時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時25分","0","0","0","73","0","0","0","0","0","0","0"
"2013年02月06日14時30分","0","0","0","113","0","0","0","0","0","0","0"
"2013年02月06日14時35分","0","6","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時40分","1","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時45分","3","0","0","78","0","0","0","0","0","0","0"
"2013年02月06日14時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時05分","215","0","4","0","0","4","0","0","0","0","0"
"2013年02月06日15時10分","306","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時15分","158","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時30分","11","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時20分","0","0","0","117","0","0","0","0","0","0","0"
"2013年02月06日16時25分","0","0","0","0","0","0","0","0","0","0","6"
"2013年02月06日16時30分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月06日16時35分","0","0","28","0","0","0","0","0","0","0","5"
"2013年02月06日16時40分","0","0","0","0","0","0","0","0","0","0","14"
"2013年02月06日16時45分","1","0","4","0","0","0","0","0","0","0","0"
"2013年02月06日16時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時00分","1","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時10分","0","0","0","0","0","0","0","0","0","0","50"
"2013年02月06日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時35分","0","0","13","0","0","0","0","0","0","0","0"
"2013年02月06日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時10分","108","4","7","0","0","0","0","0","0","0","3"
"2013年02月06日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時00分","15","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時05分","28","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時15分","0","0","2","0","0","4","0","0","0","0","0"
"2013年02月07日10時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時40分","0","0","0","0","0","0","0","0","0","0","0"
