"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","ワード - 打鍵回数","プレゼン編集 - 打鍵回数","エクセル - 打鍵回数","ファイル操作 - 打鍵回数","文書閲覧　 - 打鍵回数","調査　 - 打鍵回数","SQLサーバ　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ　 - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日08時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時00分","0","43","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時05分","0","0","4","0","0","0","0","3","0","0","0","0","0","0"
"2013年02月05日09時10分","0","0","132","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月05日09時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時20分","0","0","135","0","0","0","7","2","0","0","0","0","0","0"
"2013年02月05日09時25分","0","0","55","0","0","0","0","4","0","0","0","0","0","0"
"2013年02月05日09時30分","0","0","536","0","0","0","9","4","0","0","0","0","0","0"
"2013年02月05日09時35分","0","0","315","0","0","0","12","0","0","0","0","0","0","0"
"2013年02月05日09時40分","0","0","431","0","0","0","1","0","0","0","0","0","0","0"
"2013年02月05日09時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時50分","0","0","0","1","0","0","0","8","0","0","0","0","1","0"
"2013年02月05日09時55分","0","0","0","4","0","0","5","1","0","585","0","0","4","0"
"2013年02月05日10時00分","0","0","0","0","0","0","0","0","0","568","0","0","0","0"
"2013年02月05日10時05分","0","0","0","0","0","0","0","0","0","407","0","0","0","0"
"2013年02月05日10時10分","0","0","0","0","0","0","0","0","0","623","0","0","0","0"
"2013年02月05日10時15分","0","0","0","0","0","0","0","0","0","514","0","0","0","0"
"2013年02月05日10時20分","0","0","0","0","0","0","0","0","0","465","0","0","0","0"
"2013年02月05日10時25分","0","0","0","0","0","0","0","0","0","561","0","0","0","0"
"2013年02月05日10時30分","0","0","0","0","0","0","2","0","0","523","0","0","0","0"
"2013年02月05日10時35分","0","0","0","0","0","0","93","2","0","0","0","0","0","0"
"2013年02月05日10時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時45分","0","0","63","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時55分","0","2","0","4","0","0","4","13","0","8","0","0","4","0"
"2013年02月05日11時00分","0","0","0","49","0","0","75","5","0","10","0","0","49","0"
"2013年02月05日11時05分","0","0","0","53","0","0","25","0","0","0","0","0","53","0"
"2013年02月05日11時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時20分","0","0","0","47","0","0","56","0","0","0","0","0","47","0"
"2013年02月05日11時25分","0","0","0","31","0","0","6","0","0","0","0","0","31","0"
"2013年02月05日11時30分","0","0","4","72","0","0","44","4","0","0","0","0","72","0"
"2013年02月05日11時35分","0","0","0","47","0","0","14","2","0","0","0","0","47","0"
"2013年02月05日11時40分","0","0","0","2","0","0","112","2","0","0","0","0","2","0"
"2013年02月05日11時45分","0","0","1","1","0","0","115","0","0","0","0","0","1","0"
"2013年02月05日11時50分","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","0","1","0","0","0","19","0","0","0","0","1","0"
"2013年02月05日12時10分","0","548","0","7","0","0","0","1","0","0","0","0","7","0"
"2013年02月05日12時15分","0","470","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時40分","0","0","0","2","0","0","0","0","0","0","0","0","2","0"
"2013年02月05日12時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","88","0","1","0","0","0","3","0","0","0","0","1","0"
"2013年02月05日13時35分","0","1","198","8","0","0","0","61","0","0","0","0","8","0"
