Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
TaskPit,20130204:232606,20130204:232607,1,0,0
FileOperation,20130204:232607,20130204:232617,2,0,0
FileOperation,20130204:232617,20130204:232621,1,0,0
Other,20130204:232621,20130204:232625,1,0,0
Other,20130204:232625,20130204:232627,1,0,0
FileOperation,20130204:232627,20130204:232634,2,0,0
Other,20130204:232634,20130204:232636,0,0,0
Other,20130204:232636,20130204:232641,1,0,0
FileOperation,20130204:232641,20130204:232644,2,0,0
Other,20130204:232644,20130204:232645,0,0,0
Other,20130204:232645,20130204:232646,1,0,0
FileOperation,20130204:232646,20130204:232648,2,0,0
Other,20130204:232648,20130204:232649,0,0,0
Other,20130204:232649,20130204:232650,1,0,0
FileOperation,20130204:232650,20130204:232700,2,0,0
FileOperation,20130204:232700,20130204:232705,2,0,0
Other,20130204:232705,20130204:232706,0,0,0
Other,20130204:232706,20130204:232734,7,0,0
Other,20130204:232734,20130204:232735,1,0,0
FileOperation,20130204:232735,20130204:232741,2,0,0
Other,20130204:232741,20130204:232743,0,0,0
Other,20130204:232743,20130204:232755,2,0,0
FileOperation,20130204:232755,20130204:232805,2,0,0
FileOperation,20130204:232805,20130204:232808,2,0,0
Other,20130204:232808,20130204:232810,0,0,0
Other,20130204:232810,20130204:232826,2,0,0
FileOperation,20130204:232826,20130204:232829,2,0,0
Other,20130204:232829,20130204:232831,0,0,0
Other,20130204:232831,20130204:232839,2,0,0
FileOperation,20130204:232839,20130204:232845,1,0,0
FileOperation,20130204:232845,20130204:232848,1,0,0
FileOperation,20130204:232848,20130204:232851,1,0,0
FileOperation,20130204:232851,20130204:232857,2,0,0
Other,20130204:232857,20130204:232858,0,0,0
Other,20130204:232858,20130204:232900,1,0,0
FileOperation,20130204:232900,20130204:232904,1,0,0
Other,20130204:232904,20130204:233000,2,0,0
Other,20130204:233000,20130204:233124,1,0,0
Other,20130204:233124,20130204:233127,1,0,0
Other,20130204:233127,20130204:233137,1,0,0
Other,20130204:233137,20130204:233141,0,1,0
Other,20130204:233141,20130204:233144,1,0,0
Other,20130204:233144,20130204:233147,0,1,0
Other,20130204:233147,20130204:233149,1,0,0
Other,20130204:233149,20130204:233202,1,0,0
Other,20130204:233202,20130204:233203,0,0,0
Other,20130204:233203,20130204:233234,2,0,0
Other,20130204:233234,20130204:233259,7,0,18
Other,20130204:233259,20130204:233448,1,0,0
Other,20130204:233448,20130204:233500,0,0,0
Other,20130204:233500,20130204:233510,0,1,0
Other,20130204:233510,20130204:233518,1,0,0
FileOperation,20130204:233518,20130204:233521,1,0,0
FileOperation,20130204:233521,20130204:233525,2,0,0
Other,20130204:233525,20130204:233528,0,0,0
Other,20130204:233528,20130204:233639,16,0,0
FileOperation,20130204:233639,20130204:233651,1,0,0
Other,20130204:233651,20130204:233709,5,0,0
Other,20130204:233709,20130204:233809,11,1,0
Other,20130204:233809,20130204:233810,1,0,0
Other,20130204:233810,20130204:233812,1,0,0
Other,20130204:233812,20130204:233820,4,0,2
FileOperation,20130204:233820,20130204:233821,2,0,0
Other,20130204:233821,20130204:233823,2,0,0
Other,20130204:233823,20130204:233825,1,0,2
Other,20130204:233825,20130204:233827,0,0,0
Other,20130204:233827,20130204:233828,0,0,0
Other,20130204:233828,20130204:234000,16,0,0
