Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
FileOperation,20130201:205842,20130201:205856,0,1,0
FileOperation,20130201:205856,20130201:205857,1,0,0
Email,20130201:205857,20130201:205905,2,0,0
Email,20130201:205905,20130201:205906,1,0,0
Email,20130201:205906,20130201:205918,3,0,0
FileOperation,20130201:205918,20130201:205920,1,0,0
Email,20130201:205920,20130201:205923,1,1,0
Email,20130201:205923,20130201:205924,0,0,0
Email,20130201:205924,20130201:205955,3,0,114
FileOperation,20130201:205955,20130201:205958,2,0,0
Excel,20130201:205958,20130201:210014,1,0,0
Email,20130201:210014,20130201:210055,2,0,106
FileOperation,20130201:210055,20130201:210059,1,0,0
Email,20130201:210059,20130201:210156,1,0,189
Excel,20130201:210156,20130201:210206,0,0,2
Email,20130201:210206,20130201:210218,1,0,22
Excel,20130201:210218,20130201:210239,1,0,0
FileOperation,20130201:210239,20130201:210247,2,0,0
FileOperation,20130201:210247,20130201:210248,1,0,0
FileOperation,20130201:210248,20130201:210251,1,0,0
FileOperation,20130201:210251,20130201:210252,1,0,0
FileOperation,20130201:210252,20130201:210256,1,0,0
Excel,20130201:210256,20130201:210302,0,0,0
FileOperation,20130201:210302,20130201:210303,0,0,2
FileOperation,20130201:210303,20130201:210304,1,0,0
FileOperation,20130201:210304,20130201:210311,1,0,0
FileOperation,20130201:210311,20130201:210315,1,0,0
Excel,20130201:210315,20130201:210321,0,0,2
FileOperation,20130201:210321,20130201:210332,0,0,2
FileOperation,20130201:210332,20130201:210333,2,0,0
FileOperation,20130201:210333,20130201:210338,2,1,0
Other,20130201:210338,20130201:210339,0,0,0
Other,20130201:210339,20130201:210346,3,0,0
FileOperation,20130201:210346,20130201:210356,1,0,0
Other,20130201:210356,20130201:210402,1,0,0
FileOperation,20130201:210402,20130201:210410,4,0,0
FileOperation,20130201:210410,20130201:210411,0,0,0
Other,20130201:210411,20130201:210423,6,0,0
FileOperation,20130201:210423,20130201:210438,3,0,0
Excel,20130201:210438,20130201:210500,0,0,0
Excel,20130201:210500,20130201:210508,1,0,0
FileOperation,20130201:210508,20130201:210531,6,0,0
FileOperation,20130201:210531,20130201:210536,2,0,0
FileOperation,20130201:210536,20130201:210540,1,0,0
FileOperation,20130201:210540,20130201:210543,1,0,0
FileOperation,20130201:210543,20130201:210549,1,0,0
Other,20130201:210549,20130201:210556,2,0,2
FileOperation,20130201:210556,20130201:210603,1,0,0
FileOperation,20130201:210603,20130201:210608,1,0,0
Other,20130201:210608,20130201:210612,2,0,0
FileOperation,20130201:210612,20130201:210632,4,0,0
FileOperation,20130201:210632,20130201:210633,0,0,0
FileOperation,20130201:210633,20130201:210635,1,0,0
FileOperation,20130201:210635,20130201:210640,1,0,0
Other,20130201:210640,20130201:210641,1,0,0
FileOperation,20130201:210641,20130201:210643,1,0,0
Excel,20130201:210644,20130201:210645,0,0,2
FileOperation,20130201:210645,20130201:210647,1,0,0
Other,20130201:210647,20130201:210648,0,0,2
FileOperation,20130201:210648,20130201:210713,1,0,0
FileOperation,20130201:210713,20130201:210715,1,0,0
FileOperation,20130201:210715,20130201:210717,1,0,0
FileOperation,20130201:210717,20130201:210718,0,0,1
FileOperation,20130201:210718,20130201:210720,1,0,1
FileOperation,20130201:210720,20130201:210721,0,0,2
FileOperation,20130201:210721,20130201:210722,1,0,0
Email,20130201:210722,20130201:210724,1,0,2
Email,20130201:210724,20130201:210725,1,0,0
Email,20130201:210725,20130201:210726,1,0,0
Email,20130201:210727,20130201:210729,1,0,0
Email,20130201:210729,20130201:210733,2,0,1
FileOperation,20130201:210733,20130201:210845,1,1,0
Other,20130201:210845,20130201:210928,8,0,0
FileOperation,20130201:210928,20130201:210929,1,0,0
FileOperation,20130201:210929,20130201:211001,0,0,0
FileOperation,20130204:102954,20130204:103021,0,0,0
Email,20130204:103021,20130204:103024,0,0,0
Email,20130204:103024,20130204:103457,0,0,4
Email,20130204:103606,20130204:103632,0,0,27
Email,20130204:103632,20130204:103637,0,0,2
Email,20130204:103637,20130204:103642,0,0,2
Email,20130204:103642,20130204:103719,0,0,2
Email,20130204:103719,20130204:103844,0,0,5
Email,20130204:103844,20130204:103846,0,0,0
Email,20130204:103846,20130204:103859,0,0,32
Email,20130204:103859,20130204:103902,0,0,0
Email,20130204:103902,20130204:103903,0,0,0
Email,20130204:103903,20130204:104000,0,0,1
Email,20130204:104000,20130204:104001,0,0,0
FileOperation,20130204:104001,20130204:104006,0,0,5
FileOperation,20130204:104006,20130204:104007,0,0,1
FileOperation,20130204:104007,20130204:104009,0,0,0
Email,20130204:104009,20130204:104012,0,0,0
Email,20130204:104012,20130204:104409,0,0,81
Email,20130204:104749,20130204:104750,0,0,2
Email,20130204:104750,20130204:104756,0,0,1
Browser,20130204:104759,20130204:104801,0,0,0
Browser,20130204:104801,20130204:104804,0,0,0
Browser,20130204:104804,20130204:104808,0,0,0
Browser,20130204:104808,20130204:104814,0,0,7
Browser,20130204:104814,20130204:104816,0,0,0
Browser,20130204:104816,20130204:104825,0,0,0
Browser,20130204:104825,20130204:104832,0,0,0
Browser,20130204:104832,20130204:104841,0,0,0
Browser,20130204:104841,20130204:104852,0,0,0
Browser,20130204:104852,20130204:104854,0,0,0
Email,20130204:104854,20130204:104855,0,0,0
Browser,20130204:104855,20130204:104858,0,0,10
Browser,20130204:104858,20130204:104859,0,0,0
Email,20130204:104859,20130204:104907,0,0,0
Browser,20130204:104907,20130204:104911,0,0,0
Browser,20130204:104911,20130204:104914,0,0,0
Browser,20130204:104914,20130204:104919,0,0,0
Browser,20130204:104919,20130204:104921,0,0,0
