Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
TaskPit,20130205:085442,20130205:085500,0,0,0
TaskPit,20130205:085500,20130205:085527,1,0,0
FileOperation,20130205:085527,20130205:085532,0,0,0
Browser,20130205:085532,20130205:085533,0,0,0
Browser,20130205:085533,20130205:085544,2,0,0
Browser,20130205:085544,20130205:085606,1,0,0
Browser,20130205:085606,20130205:085616,1,0,15
Browser,20130205:085616,20130205:085620,1,0,0
Browser,20130205:085620,20130205:085623,1,0,0
Browser,20130205:085623,20130205:085625,1,0,0
Browser,20130205:085625,20130205:085630,2,0,0
Browser,20130205:085630,20130205:085634,1,0,0
Browser,20130205:085634,20130205:085705,1,0,28
Browser,20130205:085705,20130205:085706,0,0,0
Browser,20130205:085706,20130205:085710,0,0,0
Browser,20130205:085710,20130205:085723,2,0,0
Browser,20130205:085723,20130205:085726,1,0,0
Browser,20130205:085726,20130205:085727,1,0,0
Browser,20130205:085727,20130205:085732,2,0,0
Document,20130205:085732,20130205:085825,1,0,0
Browser,20130205:085825,20130205:085827,1,0,0
Browser,20130205:085827,20130205:085829,1,0,0
Browser,20130205:085829,20130205:085836,1,0,0
FileOperation,20130205:085836,20130205:085839,2,0,0
FileOperation,20130205:085839,20130205:085841,2,0,0
FileOperation,20130205:085841,20130205:085842,0,0,0
FileOperation,20130205:085842,20130205:085854,2,0,0
FileOperation,20130205:085857,20130205:085939,2,0,0
FileOperation,20130205:085939,20130205:090000,0,0,0
FileOperation,20130205:090000,20130205:090031,1,0,0
FileOperation,20130205:090031,20130205:090043,2,0,0
FileOperation,20130205:090043,20130205:090049,2,0,0
FileOperation,20130205:090049,20130205:090051,1,0,0
FileOperation,20130205:090051,20130205:090054,1,0,0
FileOperation,20130205:090054,20130205:090101,1,0,0
Email,20130205:090101,20130205:090103,1,0,0
Email,20130205:090103,20130205:090112,3,0,0
Email,20130205:090112,20130205:090132,13,0,0
Email,20130205:090132,20130205:090148,5,0,2
FileOperation,20130205:090148,20130205:090149,1,0,0
FileOperation,20130205:090149,20130205:090151,0,0,3
FileOperation,20130205:090151,20130205:090157,3,0,0
Excel,20130205:090157,20130205:090202,1,0,0
Email,20130205:090202,20130205:090208,0,0,2
Excel,20130205:090208,20130205:090426,10,0,0
Email,20130205:090426,20130205:090428,1,0,0
Excel,20130205:090428,20130205:090501,5,0,0
