Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Other,20130206:091535,20130206:091536,1,0,0
Email,20130206:091536,20130206:091542,2,0,0
Email,20130206:091542,20130206:091627,6,0,0
Email,20130206:091627,20130206:091631,1,0,0
Email,20130206:091631,20130206:091632,1,0,0
Email,20130206:091632,20130206:091904,6,1,49
Email,20130206:091904,20130206:092000,2,0,167
Email,20130206:092000,20130206:092105,1,0,96
Browser,20130206:092107,20130206:092108,0,0,0
Browser,20130206:092108,20130206:092122,1,0,0
Browser,20130206:092122,20130206:092135,0,0,2
Browser,20130206:092135,20130206:092145,1,0,0
Email,20130206:092145,20130206:092230,1,0,0
Browser,20130206:092230,20130206:092232,1,0,0
Browser,20130206:092232,20130206:092234,1,0,0
Browser,20130206:092234,20130206:092236,1,0,0
Browser,20130206:092236,20130206:092237,0,0,0
Browser,20130206:092237,20130206:092241,0,0,0
Browser,20130206:092241,20130206:092243,1,0,0
Browser,20130206:092243,20130206:092418,4,0,0
Browser,20130206:092418,20130206:092425,2,0,25
Browser,20130206:092425,20130206:092439,2,0,0
Email,20130206:092439,20130206:092443,1,0,0
Browser,20130206:092443,20130206:092445,1,0,0
Browser,20130206:092445,20130206:092446,2,0,0
Browser,20130206:092446,20130206:092500,3,0,26
Browser,20130206:092500,20130206:092507,7,0,0
Browser,20130206:092507,20130206:092511,1,0,0
Browser,20130206:092511,20130206:092518,0,0,2
Browser,20130206:092518,20130206:092519,1,0,0
Email,20130206:092519,20130206:092627,4,0,142
Email,20130206:092627,20130206:092630,2,0,0
FileOperation,20130206:092630,20130206:092631,2,0,0
Email,20130206:092631,20130206:092828,10,0,175
Email,20130206:092828,20130206:092840,8,0,0
Email,20130206:092840,20130206:092842,1,0,0
Browser,20130206:092842,20130206:092844,1,0,0
Browser,20130206:092844,20130206:092907,3,0,0
Browser,20130206:092907,20130206:092914,1,0,0
Browser,20130206:092914,20130206:092916,1,0,0
Email,20130206:092916,20130206:092928,1,0,0
Email,20130206:092928,20130206:092929,1,0,0
Email,20130206:092929,20130206:092933,7,0,0
Email,20130206:092933,20130206:092939,0,0,0
Other,20130206:092939,20130206:092940,1,0,0
Email,20130206:092941,20130206:092942,1,0,0
Browser,20130206:092942,20130206:092944,1,0,0
Browser,20130206:092944,20130206:092946,1,0,0
Browser,20130206:092946,20130206:092947,1,0,0
Browser,20130206:092947,20130206:092950,1,0,0
Browser,20130206:092950,20130206:093000,13,0,0
Browser,20130206:093000,20130206:093018,3,0,63
Browser,20130206:093018,20130206:093028,1,0,0
Email,20130206:093028,20130206:093030,1,0,0
Email,20130206:093030,20130206:093043,4,0,0
FileOperation,20130206:093043,20130206:093044,1,0,0
FileOperation,20130206:093044,20130206:093046,1,0,0
Browser,20130206:093046,20130206:093049,1,0,0
Browser,20130206:093049,20130206:093054,1,0,0
FileOperation,20130206:093054,20130206:093056,1,0,0
Email,20130206:093056,20130206:093057,1,0,0
Browser,20130206:093057,20130206:093105,1,0,0
Email,20130206:093105,20130206:093107,1,0,0
FileOperation,20130206:093107,20130206:093114,1,0,0
Email,20130206:093114,20130206:093120,2,0,0
Email,20130206:093120,20130206:093127,3,0,4
FileOperation,20130206:093127,20130206:093129,2,0,0
FileOperation,20130206:093129,20130206:093131,2,0,0
FileOperation,20130206:093131,20130206:093133,3,0,0
FileOperation,20130206:093133,20130206:093138,2,0,0
FileOperation,20130206:093138,20130206:093140,2,0,0
FileOperation,20130206:093140,20130206:093142,2,0,0
FileOperation,20130206:093142,20130206:093144,2,0,0
Email,20130206:093144,20130206:093146,0,0,0
Email,20130206:093146,20130206:093204,4,0,0
FileOperation,20130206:093204,20130206:093206,1,0,0
Email,20130206:093206,20130206:093208,2,0,0
Email,20130206:093208,20130206:093214,4,0,0
Email,20130206:093214,20130206:093217,1,0,0
Email,20130206:093217,20130206:093218,1,0,0
FileOperation,20130206:093218,20130206:093219,1,0,0
Email,20130206:093219,20130206:093220,2,0,0
FileOperation,20130206:093220,20130206:093221,1,0,0
FileOperation,20130206:093221,20130206:093223,1,0,1
Excel,20130206:093223,20130206:093224,0,0,0
Excel,20130206:093224,20130206:093239,7,0,2
FileOperation,20130206:093239,20130206:093241,1,0,2
FileOperation,20130206:093241,20130206:093244,1,0,0
FileOperation,20130206:093244,20130206:093246,2,0,0
FileOperation,20130206:093246,20130206:093247,2,0,0
FileOperation,20130206:093247,20130206:093249,1,0,1
Excel,20130206:093249,20130206:093256,4,0,0
FileOperation,20130206:093256,20130206:093258,1,0,0
FileOperation,20130206:093258,20130206:093259,1,0,0
Excel,20130206:093259,20130206:093300,1,0,0
FileOperation,20130206:093300,20130206:093301,1,0,0
Excel,20130206:093301,20130206:093313,6,0,8
Excel,20130206:093313,20130206:093318,6,0,2
Excel,20130206:093318,20130206:093500,9,0,6
Excel,20130206:093500,20130206:093637,0,0,0
Excel,20130206:100411,20130206:100415,3,0,0
Email,20130206:100415,20130206:100432,2,0,0
Browser,20130206:100432,20130206:100433,0,0,0
Browser,20130206:100433,20130206:100440,1,0,0
Browser,20130206:100440,20130206:100441,1,0,0
Email,20130206:100441,20130206:100445,2,0,0
Email,20130206:100445,20130206:100501,1,0,78
Email,20130206:100501,20130206:100634,4,0,189
Email,20130206:100634,20130206:100637,2,0,0
Email,20130206:100637,20130206:100640,1,0,0
FileOperation,20130206:100640,20130206:100641,1,0,0
Email,20130206:100641,20130206:100659,2,0,15
Email,20130206:100659,20130206:100700,1,0,0
Email,20130206:100700,20130206:100703,4,0,0
Email,20130206:100703,20130206:100704,1,0,0
Email,20130206:100704,20130206:100706,1,0,0
Browser,20130206:100706,20130206:100710,1,0,0
Email,20130206:100710,20130206:100731,4,0,0
Excel,20130206:100731,20130206:100736,1,0,0
Email,20130206:100736,20130206:100738,2,0,0
FileOperation,20130206:100738,20130206:100741,3,0,0
FileOperation,20130206:100741,20130206:100742,0,0,0
FileOperation,20130206:100742,20130206:100744,2,0,0
FileOperation,20130206:100745,20130206:100747,2,0,0
FileOperation,20130206:100747,20130206:100750,2,0,0
FileOperation,20130206:100750,20130206:100752,2,0,0
FileOperation,20130206:100752,20130206:100755,3,0,0
FileOperation,20130206:100755,20130206:100756,1,0,0
FileOperation,20130206:100756,20130206:100758,2,0,0
FileOperation,20130206:100758,20130206:100800,3,0,0
FileOperation,20130206:100800,20130206:100805,4,0,1
Word&Powerpoint,20130206:100805,20130206:100806,0,0,0
Word&Powerpoint,20130206:100806,20130206:100819,3,0,0
FileOperation,20130206:100819,20130206:100820,0,0,0
Excel,20130206:100820,20130206:100838,9,2,14
Word&Powerpoint,20130206:100838,20130206:100844,0,0,2
Excel,20130206:100844,20130206:100850,2,0,8
Word&Powerpoint,20130206:100850,20130206:100852,0,0,2
Excel,20130206:100852,20130206:100854,0,0,5
FileOperation,20130206:100854,20130206:100856,0,0,2
Word&Powerpoint,20130206:100856,20130206:100906,0,0,2
Excel,20130206:100906,20130206:100911,1,0,8
Word&Powerpoint,20130206:100911,20130206:100913,0,0,2
Excel,20130206:100913,20130206:100915,0,0,5
FileOperation,20130206:100915,20130206:100916,0,0,2
Word&Powerpoint,20130206:100916,20130206:100920,2,0,0
Excel,20130206:100920,20130206:100921,0,0,2
FileOperation,20130206:100921,20130206:100924,2,0,1
Excel,20130206:100924,20130206:100936,3,1,2
Excel,20130206:100936,20130206:100943,1,0,9
Excel,20130206:100943,20130206:100946,0,0,3
Excel,20130206:100946,20130206:100951,0,0,7
Excel,20130206:100951,20130206:100952,1,0,0
Excel,20130206:100952,20130206:100953,0,0,1
FileOperation,20130206:100953,20130206:100954,0,0,1
