Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Other,20130205:112332,20130205:112336,1,0,0
Other,20130205:112336,20130205:112341,3,0,0
Email,20130205:112341,20130205:112438,3,1,0
FileOperation,20130205:112438,20130205:112441,3,0,0
Email,20130205:112441,20130205:112442,1,0,0
FileOperation,20130205:112442,20130205:112444,1,0,2
FileOperation,20130205:112444,20130205:112445,1,1,0
FileOperation,20130205:112445,20130205:112500,2,0,37
FileOperation,20130205:112500,20130205:112503,3,0,5
Email,20130205:112503,20130205:112504,0,0,0
FileOperation,20130205:112504,20130205:112506,2,0,0
Email,20130205:112506,20130205:112507,0,0,0
FileOperation,20130205:112507,20130205:112508,1,0,0
Email,20130205:112508,20130205:112516,3,0,0
FileOperation,20130205:112516,20130205:112518,1,0,0
Email,20130205:112518,20130205:112522,5,0,0
FileOperation,20130205:112522,20130205:112523,1,0,0
FileOperation,20130205:112523,20130205:112530,7,1,0
FileOperation,20130205:112530,20130205:112531,2,0,0
FileOperation,20130205:112531,20130205:112533,1,0,0
Excel,20130205:112533,20130205:112548,1,0,0
Programming&Debug,20130205:112548,20130205:112643,6,0,0
FileOperation,20130205:112643,20130205:112645,1,0,0
FileOperation,20130205:112645,20130205:112646,1,0,0
FileOperation,20130205:112646,20130205:112648,1,0,0
Excel,20130205:112648,20130205:112649,1,0,0
Excel,20130205:112649,20130205:112707,3,0,0
Excel,20130205:112707,20130205:112722,5,0,0
Browser,20130205:112722,20130205:112724,2,1,0
Browser,20130205:112724,20130205:112728,0,0,13
Browser,20130205:112728,20130205:112729,0,0,0
Browser,20130205:112729,20130205:112730,0,0,0
Browser,20130205:112730,20130205:112734,1,0,0
Browser,20130205:112734,20130205:112744,1,0,0
Browser,20130205:112744,20130205:112748,1,0,0
Browser,20130205:112748,20130205:112752,1,0,0
Browser,20130205:112752,20130205:112814,3,0,0
Excel,20130205:112814,20130205:112817,1,0,0
Browser,20130205:112817,20130205:112818,1,0,0
Excel,20130205:112818,20130205:112854,1,0,0
Excel,20130205:112854,20130205:112920,4,0,4
Excel,20130205:112920,20130205:112922,1,0,0
Excel,20130205:112922,20130205:113000,2,0,0
Excel,20130205:113000,20130205:113226,0,0,0
Excel,20130205:123454,20130205:123455,1,0,0
Other,20130205:123455,20130205:123457,1,0,0
Email,20130205:123458,20130205:123500,0,0,0
Email,20130205:123500,20130205:123504,2,0,0
Programming&Debug,20130205:123504,20130205:123505,2,0,0
FileOperation,20130205:123505,20130205:123506,2,0,0
Browser,20130205:123507,20130205:123510,1,0,0
Browser,20130205:123510,20130205:123511,2,0,0
Email,20130205:123512,20130205:123513,1,0,0
Excel,20130205:123513,20130205:123514,1,0,0
Other,20130205:123515,20130205:123519,3,0,0
