"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"ファイル操作","2013年02月04日09時51分14秒","2013年02月04日09時51分34秒","1","0","0"
"ファイル操作","2013年02月04日09時51分35秒","2013年02月04日09時51分37秒","0","0","0"
"ファイル操作","2013年02月04日09時51分37秒","2013年02月04日09時51分39秒","0","0","0"
"ファイル操作","2013年02月04日09時51分39秒","2013年02月04日09時51分48秒","0","0","0"
"ファイル操作","2013年02月04日09時51分48秒","2013年02月04日09時51分49秒","0","0","0"
"ファイル操作","2013年02月04日09時51分49秒","2013年02月04日09時51分50秒","0","0","0"
"ファイル操作","2013年02月04日09時51分50秒","2013年02月04日09時51分55秒","0","0","0"
"ファイル操作","2013年02月04日09時51分55秒","2013年02月04日09時51分56秒","0","0","0"
"ファイル操作","2013年02月04日09時51分56秒","2013年02月04日09時51分59秒","0","0","0"
"ファイル操作","2013年02月04日09時51分59秒","2013年02月04日09時52分08秒","0","0","0"
"ファイル操作","2013年02月04日09時52分08秒","2013年02月04日09時52分15秒","0","0","1"
"ファイル操作","2013年02月04日09時52分15秒","2013年02月04日09時52分16秒","0","0","0"
"ファイル操作","2013年02月04日09時52分16秒","2013年02月04日09時52分17秒","0","0","0"
"ファイル操作","2013年02月04日09時52分17秒","2013年02月04日09時52分29秒","0","0","0"
"ブラウザ","2013年02月04日09時52分29秒","2013年02月04日09時52分34秒","0","0","0"
"ブラウザ","2013年02月04日09時52分35秒","2013年02月04日09時52分35秒","0","0","0"
"ブラウザ","2013年02月04日09時52分35秒","2013年02月04日09時52分36秒","0","0","0"
"ファイル操作","2013年02月04日09時52分36秒","2013年02月04日09時52分37秒","0","0","0"
"ブラウザ","2013年02月04日09時52分37秒","2013年02月04日09時52分39秒","0","0","0"
"ブラウザ","2013年02月04日09時52分39秒","2013年02月04日09時52分40秒","0","0","0"
"ブラウザ","2013年02月04日09時52分40秒","2013年02月04日09時52分41秒","0","0","0"
"ブラウザ","2013年02月04日09時52分41秒","2013年02月04日09時52分42秒","0","0","0"
"メール","2013年02月04日09時52分43秒","2013年02月04日09時52分45秒","0","0","0"
"ブラウザ","2013年02月04日09時52分45秒","2013年02月04日09時52分48秒","0","0","0"
"ブラウザ","2013年02月04日09時52分48秒","2013年02月04日09時52分49秒","0","0","0"
"ブラウザ","2013年02月04日09時52分49秒","2013年02月04日09時52分54秒","0","0","0"
"ブラウザ","2013年02月04日09時52分54秒","2013年02月04日09時52分57秒","0","0","0"
"ブラウザ","2013年02月04日09時52分57秒","2013年02月04日09時53分00秒","0","0","0"
"ブラウザ","2013年02月04日09時53分00秒","2013年02月04日09時53分03秒","0","0","0"
"ブラウザ","2013年02月04日09時53分03秒","2013年02月04日09時53分09秒","0","0","0"
"ファイル操作","2013年02月04日09時53分09秒","2013年02月04日09時53分12秒","0","0","0"
"ブラウザ","2013年02月04日09時53分12秒","2013年02月04日09時53分16秒","0","0","1"
"ブラウザ","2013年02月04日09時53分16秒","2013年02月04日09時53分18秒","0","0","0"
"ブラウザ","2013年02月04日09時53分18秒","2013年02月04日09時53分19秒","0","0","0"
"ブラウザ","2013年02月04日09時53分19秒","2013年02月04日09時53分21秒","0","0","0"
"ブラウザ","2013年02月04日09時53分21秒","2013年02月04日09時53分23秒","0","0","0"
"ブラウザ","2013年02月04日09時53分23秒","2013年02月04日09時53分28秒","0","0","0"
"ブラウザ","2013年02月04日09時53分28秒","2013年02月04日09時53分33秒","0","0","0"
"ファイル操作","2013年02月04日09時53分33秒","2013年02月04日09時53分34秒","0","0","0"
"ファイル操作","2013年02月04日09時53分34秒","2013年02月04日09時53分41秒","0","0","0"
"エクセル","2013年02月04日09時53分41秒","2013年02月04日09時53分42秒","0","0","0"
"エクセル","2013年02月04日09時53分42秒","2013年02月04日09時53分45秒","0","0","0"
"エクセル","2013年02月04日09時53分45秒","2013年02月04日09時53分47秒","0","0","0"
"エクセル","2013年02月04日09時53分47秒","2013年02月04日09時53分49秒","0","0","0"
"エクセル","2013年02月04日09時53分49秒","2013年02月04日09時53分57秒","0","0","2"
"ファイル操作","2013年02月04日09時53分57秒","2013年02月04日09時53分59秒","0","0","0"
"ファイル操作","2013年02月04日09時53分59秒","2013年02月04日09時54分01秒","0","0","0"
"ファイル操作","2013年02月04日09時54分01秒","2013年02月04日09時54分02秒","0","0","0"
"ファイル操作","2013年02月04日09時54分02秒","2013年02月04日09時54分18秒","0","0","0"
"ファイル操作","2013年02月04日09時54分18秒","2013年02月04日09時54分19秒","0","0","0"
"エクセル","2013年02月04日09時54分19秒","2013年02月04日09時54分21秒","0","0","0"
"ファイル操作","2013年02月04日09時54分21秒","2013年02月04日09時54分24秒","0","0","0"
"ファイル操作","2013年02月04日09時54分24秒","2013年02月04日09時54分26秒","0","0","0"
"ファイル操作","2013年02月04日09時54分26秒","2013年02月04日09時54分27秒","0","0","0"
"ファイル操作","2013年02月04日09時54分27秒","2013年02月04日09時54分38秒","0","0","0"
"ファイル操作","2013年02月04日09時54分38秒","2013年02月04日09時54分43秒","0","0","0"
"エクセル","2013年02月04日09時54分43秒","2013年02月04日09時54分46秒","0","0","2"
"エクセル","2013年02月04日09時54分46秒","2013年02月04日09時54分47秒","0","0","0"
"エクセル","2013年02月04日09時54分47秒","2013年02月04日09時54分49秒","0","0","0"
"ファイル操作","2013年02月04日09時54分49秒","2013年02月04日09時54分58秒","0","0","0"
"ブラウザ","2013年02月04日09時54分58秒","2013年02月04日09時55分00秒","0","0","0"
"ブラウザ","2013年02月04日09時55分00秒","2013年02月04日09時55分01秒","0","0","1"
"ブラウザ","2013年02月04日09時55分01秒","2013年02月04日09時55分03秒","0","0","0"
"ブラウザ","2013年02月04日09時55分03秒","2013年02月04日09時55分04秒","0","0","0"
"ブラウザ","2013年02月04日09時55分04秒","2013年02月04日09時55分23秒","0","0","0"
"ブラウザ","2013年02月04日09時55分23秒","2013年02月04日09時55分28秒","0","0","0"
"ブラウザ","2013年02月04日09時55分28秒","2013年02月04日09時55分30秒","0","0","0"
"ファイル操作","2013年02月04日09時55分30秒","2013年02月04日09時55分31秒","0","0","0"
"メール","2013年02月04日09時55分31秒","2013年02月04日09時55分33秒","0","0","0"
"メール","2013年02月04日09時55分33秒","2013年02月04日09時55分35秒","0","0","0"
"メール","2013年02月04日09時55分35秒","2013年02月04日09時55分36秒","0","0","0"
"メール","2013年02月04日09時55分36秒","2013年02月04日09時55分38秒","0","0","0"
"メール","2013年02月04日09時55分38秒","2013年02月04日09時55分39秒","0","0","0"
