Task name,start time,end time,left click,right click,keystroke
file operation,20130204:095217,20130204:095229,0,0,0
browsing,20130204:095229,20130204:095234,0,0,0
browsing,20130204:095235,20130204:095235,0,0,0
browsing,20130204:095235,20130204:095236,0,0,0
file operation,20130204:095236,20130204:095237,0,0,0
browsing,20130204:095237,20130204:095239,0,0,0
browsing,20130204:095239,20130204:095240,0,0,0
browsing,20130204:095240,20130204:095241,0,0,0
browsing,20130204:095241,20130204:095242,0,0,0
email,20130204:095243,20130204:095245,0,0,0
browsing,20130204:095245,20130204:095248,0,0,0
browsing,20130204:095248,20130204:095249,0,0,0
browsing,20130204:095249,20130204:095254,0,0,0
browsing,20130204:095254,20130204:095257,0,0,0
browsing,20130204:095257,20130204:095300,0,0,0
browsing,20130204:095300,20130204:095303,0,0,0
browsing,20130204:095303,20130204:095309,0,0,0
file operation,20130204:095309,20130204:095312,0,0,0
browsing,20130204:095312,20130204:095316,0,0,1
browsing,20130204:095316,20130204:095318,0,0,0
browsing,20130204:095318,20130204:095319,0,0,0
browsing,20130204:095319,20130204:095321,0,0,0
browsing,20130204:095321,20130204:095323,0,0,0
browsing,20130204:095323,20130204:095328,0,0,0
browsing,20130204:095328,20130204:095333,0,0,0
file operation,20130204:095333,20130204:095334,0,0,0
file operation,20130204:095334,20130204:095341,0,0,0
Excel,20130204:095341,20130204:095342,0,0,0
Excel,20130204:095342,20130204:095345,0,0,0
Excel,20130204:095345,20130204:095347,0,0,0
Excel,20130204:095347,20130204:095349,0,0,0
Excel,20130204:095349,20130204:095357,0,0,2
file operation,20130204:095357,20130204:095359,0,0,0
file operation,20130204:095359,20130204:095401,0,0,0
file operation,20130204:095401,20130204:095402,0,0,0
file operation,20130204:095402,20130204:095418,0,0,0
file operation,20130204:095418,20130204:095419,0,0,0
Excel,20130204:095419,20130204:095421,0,0,0
file operation,20130204:095421,20130204:095424,0,0,0
file operation,20130204:095424,20130204:095426,0,0,0
file operation,20130204:095426,20130204:095427,0,0,0
file operation,20130204:095427,20130204:095438,0,0,0
file operation,20130204:095438,20130204:095443,0,0,0
Excel,20130204:095443,20130204:095446,0,0,2
Excel,20130204:095446,20130204:095447,0,0,0
Excel,20130204:095447,20130204:095449,0,0,0
file operation,20130204:095449,20130204:095458,0,0,0
browsing,20130204:095458,20130204:095500,0,0,0
browsing,20130204:095500,20130204:095501,0,0,1
browsing,20130204:095501,20130204:095503,0,0,0
browsing,20130204:095503,20130204:095504,0,0,0
browsing,20130204:095504,20130204:095523,0,0,0
browsing,20130204:095523,20130204:095528,0,0,0
browsing,20130204:095528,20130204:095530,0,0,0
file operation,20130204:095530,20130204:095531,0,0,0
email,20130204:095531,20130204:095533,0,0,0
email,20130204:095533,20130204:095535,0,0,0
email,20130204:095535,20130204:095536,0,0,0
email,20130204:095536,20130204:095538,0,0,0
